z,id,name,group,file,bbox,anchor,parameters,rig
10,tail_base,Tail base,Tail,source/layers/010_tail_base.svg,178 526 270 230,430 682,ParamTailBaseAngle ParamBodyAngleZ,Root tail mesh. Bind to body and rotate with delayed follow.
11,tail_mid,Tail middle band,Tail,source/layers/011_tail_mid.svg,202 555 138 110,276 612,ParamTailMidAngle,Independent middle tail band for secondary curl deformation.
12,tail_tip,Tail tip,Tail,source/layers/012_tail_tip.svg,186 509 130 134,282 612,ParamTailTipAngle,Curl tip. Use smaller mesh and higher delayed spring than base.
30,ear_left_outer,Left outer ear,Head/Ears,source/layers/030_ear_left_outer.svg,319 197 146 176,412 357,ParamEarLAngle ParamAngleZ,Rotate at lower inner base. Keep behind head base.
31,ear_right_outer,Right outer ear,Head/Ears,source/layers/031_ear_right_outer.svg,559 197 146 176,612 357,ParamEarRAngle ParamAngleZ,Rotate at lower inner base. Mirror left ear rig.
32,ear_left_inner,Left inner ear,Head/Ears,source/layers/032_ear_left_inner.svg,345 231 88 106,405 337,ParamEarLAngle,Nested under outer ear. Subtle compression during ear twitch.
33,ear_right_inner,Right inner ear,Head/Ears,source/layers/033_ear_right_inner.svg,591 231 88 106,619 337,ParamEarRAngle,Nested under outer ear. Mirror left inner ear.
40,body_base,Body base,Body,source/layers/040_body_base.svg,352 474 320 318,512 730,ParamBreath ParamBodyAngleX ParamBodyAngleY ParamBodyAngleZ,Main torso mesh. Breathing expands vertically and slightly laterally.
41,body_side_shadow,Body side shadow,Body,source/layers/041_body_side_shadow.svg,559 522 94 218,604 650,ParamBodyAngleX ParamBreath,Dark side form. Keep as separate multiply-like layer for body turn.
42,chest_patch,Chest patch,Body,source/layers/042_chest_patch.svg,426 544 172 218,512 662,ParamBreath ParamBodyAngleY,Chest patch should lag behind torso only very slightly.
50,back_paw_left,Left back paw,Paws,source/layers/050_back_paw_left.svg,348 712 104 94,404 770,ParamBodyAngleZ ParamSquash,Back paw anchors pet on the desktop. Minimal motion.
51,back_paw_right,Right back paw,Paws,source/layers/051_back_paw_right.svg,572 712 104 94,620 770,ParamBodyAngleZ ParamSquash,Back paw anchors pet on the desktop. Mirror left.
60,keyboard_shadow,Keyboard shadow,Keyboard,source/layers/060_keyboard_shadow.svg,304 802 416 72,512 838,ParamSquash,Grounding shadow. Do not bind to key press.
61,keyboard_body,Keyboard body,Keyboard,source/layers/061_keyboard_body.svg,306 708 412 138,512 782,ParamKeyboardBounce ParamKeyboardPressL ParamKeyboardPressR,Rigid prop mesh with slight bounce during typing.
71,key_01,Keyboard key 01,Keyboard/Keys,source/layers/071_key_01.svg,338 736 38 36,357 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
72,key_02,Keyboard key 02,Keyboard/Keys,source/layers/072_key_02.svg,377 736 38 36,396 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
73,key_03,Keyboard key 03,Keyboard/Keys,source/layers/073_key_03.svg,416 736 38 36,435 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
74,key_04,Keyboard key 04,Keyboard/Keys,source/layers/074_key_04.svg,455 736 38 36,474 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
75,key_05,Keyboard key 05,Keyboard/Keys,source/layers/075_key_05.svg,494 736 38 36,513 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
76,key_06,Keyboard key 06,Keyboard/Keys,source/layers/076_key_06.svg,533 736 38 36,552 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
77,key_07,Keyboard key 07,Keyboard/Keys,source/layers/077_key_07.svg,572 736 38 36,591 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
78,key_08,Keyboard key 08,Keyboard/Keys,source/layers/078_key_08.svg,611 736 38 36,630 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
79,key_09,Keyboard key 09,Keyboard/Keys,source/layers/079_key_09.svg,650 736 38 36,669 752,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
80,key_10,Keyboard key 10,Keyboard/Keys,source/layers/080_key_10.svg,352 768 40 36,372 784,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
81,key_11,Keyboard key 11,Keyboard/Keys,source/layers/081_key_11.svg,394 768 40 36,414 784,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
82,key_12,Keyboard key 12,Keyboard/Keys,source/layers/082_key_12.svg,436 768 40 36,456 784,ParamKeyboardPressL ParamKeyboardPressR,Primary paw strike key. Give this key the strongest press curve.
